"X","Y","crashSeverity","region","weatherA"
176.134406758008,-37.6848967207626,"Minor Crash","Bay of Plenty Region","Fine"
176.206422820212,-38.1461035940805,"Non-Injury Crash","Bay of Plenty Region","Fine"
176.165871856334,-37.684469856921,"Non-Injury Crash","Bay of Plenty Region","Fine"
176.253839885718,-38.1423567677739,"Non-Injury Crash","Bay of Plenty Region","Fine"
176.131293577531,-37.7253980720573,"Non-Injury Crash","Bay of Plenty Region","Heavy rain"
176.153898255868,-37.7036847562138,"Non-Injury Crash","Bay of Plenty Region","Fine"
176.80398493588,-38.0267482085823,"Minor Crash","Bay of Plenty Region","Heavy rain"
177.378666383546,-37.9859498515984,"Non-Injury Crash","Bay of Plenty Region","Fine"
176.865373619515,-37.920737590868,"Minor Crash","Bay of Plenty Region","Fine"
176.18813549465,-37.6476228494027,"Non-Injury Crash","Bay of Plenty Region","Fine"
176.809941120061,-38.0372926346893,"Minor Crash","Bay of Plenty Region","Fine"
176.150880641771,-37.6669780372119,"Non-Injury Crash","Bay of Plenty Region","Fine"
176.155328682585,-38.0744310576237,"Serious Crash","Bay of Plenty Region","Fine"
176.206312553929,-38.1362954690152,"Fatal Crash","Bay of Plenty Region","Fine"
176.062532104874,-38.042759413296,"Minor Crash","Bay of Plenty Region","Light rain"
176.248123704241,-38.1765068608209,"Non-Injury Crash","Bay of Plenty Region","Fine"
176.252684859789,-38.135875129947,"Non-Injury Crash","Bay of Plenty Region","Fine"
176.22945446978,-38.1246064955256,"Non-Injury Crash","Bay of Plenty Region","Fine"
176.189876197421,-37.6454043682233,"Non-Injury Crash","Bay of Plenty Region","Fine"
176.717701397451,-38.078327643073,"Non-Injury Crash","Bay of Plenty Region","Fine"
177.144869431667,-38.0492095254498,"Non-Injury Crash","Bay of Plenty Region","Fine"
176.222362065671,-37.7189682367092,"Non-Injury Crash","Bay of Plenty Region","Fine"
176.106788891597,-37.6933047618566,"Non-Injury Crash","Bay of Plenty Region","Fine"
176.227563213243,-38.1181808476746,"Non-Injury Crash","Bay of Plenty Region","Fine"
176.287462418215,-38.1406808250513,"Non-Injury Crash","Bay of Plenty Region","Light rain"
177.217981563138,-37.9920853358606,"Non-Injury Crash","Bay of Plenty Region","Fine"
176.226308046529,-37.6828753453995,"Minor Crash","Bay of Plenty Region","Fine"
176.207750056091,-38.1363012296065,"Non-Injury Crash","Bay of Plenty Region","Fine"
177.000063997514,-38.140697303501,"Non-Injury Crash","Bay of Plenty Region","Fine"
176.970341233875,-37.9543223792452,"Non-Injury Crash","Bay of Plenty Region","Light rain"
176.375848007217,-37.8141314851646,"Minor Crash","Bay of Plenty Region","Fine"
176.303666294526,-38.1612709561654,"Minor Crash","Bay of Plenty Region","Fine"
177.014054363341,-38.0634579138087,"Non-Injury Crash","Bay of Plenty Region","Mist or Fog"
175.898456149955,-37.5964534733515,"Non-Injury Crash","Bay of Plenty Region","Light rain"
175.995950653841,-37.6529623407873,"Non-Injury Crash","Bay of Plenty Region","Fine"
176.309386635299,-38.1240193111504,"Non-Injury Crash","Bay of Plenty Region","Fine"
175.917575863341,-37.5530738317249,"Serious Crash","Bay of Plenty Region","Fine"
176.112909627588,-37.695422715971,"Non-Injury Crash","Bay of Plenty Region","Light rain"
176.755869112867,-37.9250272488382,"Non-Injury Crash","Bay of Plenty Region","Fine"
177.282030261736,-38.0082395848244,"Non-Injury Crash","Bay of Plenty Region","Heavy rain"
176.152860364432,-37.6695649910055,"Minor Crash","Bay of Plenty Region","Fine"
176.118166084715,-38.0699640709022,"Non-Injury Crash","Bay of Plenty Region","Fine"
176.13261639024,-37.7261017067916,"Non-Injury Crash","Bay of Plenty Region","Fine"
177.011902594848,-38.0636936316762,"Non-Injury Crash","Bay of Plenty Region","Fine"
176.270988601369,-37.7204647272465,"Non-Injury Crash","Bay of Plenty Region","Light rain"
176.088919100698,-37.7519702963929,"Non-Injury Crash","Bay of Plenty Region","Light rain"
176.990967456215,-37.9574966603736,"Non-Injury Crash","Bay of Plenty Region","Fine"
176.150924277343,-37.7068277093731,"Non-Injury Crash","Bay of Plenty Region","Fine"
176.167189473635,-37.6823982098263,"Non-Injury Crash","Bay of Plenty Region","Fine"
176.245767213623,-38.1481030019645,"Non-Injury Crash","Bay of Plenty Region","Fine"
176.810534778639,-38.1140754054808,"Minor Crash","Bay of Plenty Region","Light rain"
177.19174260706,-38.0039686504638,"Serious Crash","Bay of Plenty Region","Fine"
176.152503889547,-37.7130563227698,"Non-Injury Crash","Bay of Plenty Region","Fine"
176.335130337203,-37.7885438316029,"Non-Injury Crash","Bay of Plenty Region","Fine"
176.136799658056,-37.6644705347851,"Non-Injury Crash","Bay of Plenty Region","Light rain"
175.927612679836,-37.4583942002268,"Non-Injury Crash","Bay of Plenty Region","Fine"
176.220239625645,-37.66340908314,"Non-Injury Crash","Bay of Plenty Region","Fine"
176.157949512864,-37.6997470159456,"Non-Injury Crash","Bay of Plenty Region","Light rain"
177.020829434536,-38.0744042073017,"Non-Injury Crash","Bay of Plenty Region","Fine"
176.267142586083,-37.7053372295162,"Non-Injury Crash","Bay of Plenty Region","Fine"
176.253825711163,-38.1358795378591,"Minor Crash","Bay of Plenty Region","Fine"
176.151432448843,-37.7372674850273,"Non-Injury Crash","Bay of Plenty Region","Fine"
176.325444655626,-37.783691548568,"Non-Injury Crash","Bay of Plenty Region","Fine"
176.061464730341,-37.705060137876,"Non-Injury Crash","Bay of Plenty Region","Light rain"
176.329170764885,-38.0483868592304,"Serious Crash","Bay of Plenty Region","Fine"
