"X","Y","crashSeverity","region","weatherA"
176.876850900417,-39.4830338801739,"Serious Crash","Hawke's Bay Region","Fine"
176.866354720182,-39.4188420151723,"Non-Injury Crash","Hawke's Bay Region","Fine"
176.875536258184,-39.4892833393041,"Fatal Crash","Hawke's Bay Region","Fine"
176.413805385324,-39.9975720863659,"Non-Injury Crash","Hawke's Bay Region","Fine"
176.870303863553,-39.6046701936337,"Non-Injury Crash","Hawke's Bay Region","Fine"
176.910382455587,-39.5018859104053,"Non-Injury Crash","Hawke's Bay Region","Fine"
176.781908210181,-39.6183574710789,"Non-Injury Crash","Hawke's Bay Region","Fine"
176.906270560689,-39.4944858573825,"Non-Injury Crash","Hawke's Bay Region","Fine"
176.879888759712,-39.6675846430312,"Minor Crash","Hawke's Bay Region","Fine"
176.876460068955,-39.53492500623,"Non-Injury Crash","Hawke's Bay Region","Mist or Fog"
176.850529870939,-39.640273668372,"Non-Injury Crash","Hawke's Bay Region","Light rain"
176.833651046939,-39.6777777238599,"Non-Injury Crash","Hawke's Bay Region","Fine"
176.725129095095,-39.74628912666,"Non-Injury Crash","Hawke's Bay Region","Heavy rain"
176.911368168996,-39.4931433696421,"Non-Injury Crash","Hawke's Bay Region","Fine"
176.65849653527,-39.5478362851501,"Non-Injury Crash","Hawke's Bay Region","Fine"
176.793534220454,-39.6301368914019,"Non-Injury Crash","Hawke's Bay Region","Fine"
176.870178678456,-39.4377728267815,"Non-Injury Crash","Hawke's Bay Region","Fine"
176.514691879325,-39.9660102622665,"Non-Injury Crash","Hawke's Bay Region","Fine"
176.909648954618,-39.4952367614947,"Non-Injury Crash","Hawke's Bay Region","Heavy rain"
176.904236716603,-39.5179352939234,"Minor Crash","Hawke's Bay Region","Fine"
176.548241420953,-39.9967899231194,"Non-Injury Crash","Hawke's Bay Region","Mist or Fog"
176.86574148369,-39.5138737701274,"Non-Injury Crash","Hawke's Bay Region","Fine"
176.918390155387,-39.6073520531715,"Non-Injury Crash","Hawke's Bay Region","Fine"
176.879648986148,-39.5157605096881,"Minor Crash","Hawke's Bay Region","Fine"
176.827587941139,-39.5975490912706,"Non-Injury Crash","Hawke's Bay Region","Fine"
176.846153430779,-39.6395002062083,"Non-Injury Crash","Hawke's Bay Region","Fine"
176.847155850547,-39.6195624489865,"Non-Injury Crash","Hawke's Bay Region","Fine"
176.662268445649,-39.9047842480028,"Non-Injury Crash","Hawke's Bay Region","Fine"
176.843399473406,-39.6404651318427,"Non-Injury Crash","Hawke's Bay Region","Fine"
176.909469865598,-39.4953598777932,"Minor Crash","Hawke's Bay Region","Fine"
176.569232900853,-39.9728620916729,"Non-Injury Crash","Hawke's Bay Region","Fine"
