"X","Y","crashSeverity","region","weatherA"
173.271100037872,-41.2632012526298,"SeriousCrash","Nelson Region","Fine"
173.538777172365,-41.1604710430538,"Non-InjuryCrash","Nelson Region","Fine"
173.295767677375,-41.2746164655283,"Non-InjuryCrash","Nelson Region","Light rain"
173.231084507534,-41.3209112336953,"Non-InjuryCrash","Nelson Region","Fine"
173.245716117457,-41.2940378465492,"Non-InjuryCrash","Nelson Region","Fine"
173.272245317652,-41.288879767061,"Non-InjuryCrash","Nelson Region","Fine"
173.444467882877,-41.2216048435978,"Non-InjuryCrash","Nelson Region","Fine"
173.283699790842,-41.2781868976537,"MinorCrash","Nelson Region","Fine"
173.28107973886,-41.2742298960383,"Non-InjuryCrash","Nelson Region","Fine"
173.266088237612,-41.2725540394181,"Non-InjuryCrash","Nelson Region","Heavy rain"
173.226518918145,-41.3032921613786,"MinorCrash","Nelson Region","Fine"
173.26833958009,-41.2800162741858,"Non-InjuryCrash","Nelson Region","Fine"
173.284161007689,-41.2661423348867,"Non-InjuryCrash","Nelson Region","Fine"
173.239525488998,-41.2995186060069,"Non-InjuryCrash","Nelson Region","Fine"
173.233638765626,-41.3134566833157,"Non-InjuryCrash","Nelson Region","Light rain"
173.272245317652,-41.288879767061,"Non-InjuryCrash","Nelson Region","Fine"
173.230335026489,-41.3082658745232,"Non-InjuryCrash","Nelson Region","Fine"
173.272073809991,-41.2648383773155,"MinorCrash","Nelson Region","Fine"
173.29484776781,-41.2665388295291,"Non-InjuryCrash","Nelson Region","Fine"
173.284057746987,-41.2698628127739,"MinorCrash","Nelson Region","Fine"
173.244286679788,-41.2982565221919,"Non-InjuryCrash","Nelson Region","Fine"
173.278510426436,-41.2821359708703,"Non-InjuryCrash","Nelson Region","Fine"
173.256253383149,-41.303959437955,"Non-InjuryCrash","Nelson Region","Fine"
173.238199777789,-41.2864240603317,"MinorCrash","Nelson Region","Fine"
173.2427985551,-41.2834779163951,"Non-InjuryCrash","Nelson Region","Fine"
173.267744379552,-41.2717034666836,"Non-InjuryCrash","Nelson Region","Fine"
173.249122253055,-41.2820591915547,"Non-InjuryCrash","Nelson Region","Fine"
173.250797841631,-41.2799297157793,"Non-InjuryCrash","Nelson Region","Fine"
173.2790999708,-41.2663528866664,"MinorCrash","Nelson Region","Light rain"
173.274142715613,-41.2771111016002,"Non-InjuryCrash","Nelson Region","Fine"
173.265205821461,-41.2964266927434,"MinorCrash","Nelson Region","Fine"
173.348062364879,-41.206614185414,"Non-InjuryCrash","Nelson Region","Fine"
173.26933275171,-41.2805183910066,"Non-InjuryCrash","Nelson Region","Fine"
173.275756942263,-41.2662978875329,"Non-InjuryCrash","Nelson Region","Fine"
173.23343643666,-41.313673279507,"Non-InjuryCrash","Nelson Region","Fine"
173.216157270733,-41.3126080799806,"Non-InjuryCrash","Nelson Region","Fine"
