"X","Y","crashSeverity","region","weatherA"
174.160566610322,-39.029635508879,"Non-Injury Crash","Taranaki Region","Heavy rain"
174.22477603588,-39.191947545816,"Non-Injury Crash","Taranaki Region","Heavy rain"
174.288164662563,-39.3478930743652,"Non-Injury Crash","Taranaki Region","Fine"
174.167845137169,-39.3765093835674,"Non-Injury Crash","Taranaki Region","Fine"
174.376024395667,-39.6444994777021,"Non-Injury Crash","Taranaki Region","Fine"
174.070445495725,-39.0588819478656,"Non-Injury Crash","Taranaki Region","Fine"
174.284492294478,-39.3387340747373,"Non-Injury Crash","Taranaki Region","Fine"
174.18302696243,-39.1522273142852,"Non-Injury Crash","Taranaki Region","Mist or Fog"
174.614755247675,-38.7307234678358,"Non-Injury Crash","Taranaki Region","Fine"
174.276147500825,-39.5315640423645,"Minor Crash","Taranaki Region","Heavy rain"
174.299421363553,-39.4292660709298,"Non-Injury Crash","Taranaki Region","Fine"
174.05745732484,-39.0621542792107,"Non-Injury Crash","Taranaki Region","Fine"
174.345032816165,-39.3856245285241,"Non-Injury Crash","Taranaki Region","Fine"
174.097887597655,-39.0688632132207,"Non-Injury Crash","Taranaki Region","Fine"
174.273700499611,-39.5377357727635,"Non-Injury Crash","Taranaki Region","Fine"
174.284306547001,-39.3349247318499,"Non-Injury Crash","Taranaki Region","Light rain"
174.153378249304,-39.0337437091535,"Non-Injury Crash","Taranaki Region","Fine"
174.081091961514,-39.0605228426014,"Non-Injury Crash","Taranaki Region","Fine"
174.16913952968,-39.0997445419844,"Non-Injury Crash","Taranaki Region","Heavy rain"
174.103949979676,-39.0513968856929,"Non-Injury Crash","Taranaki Region","Light rain"
174.28801898139,-39.3475432826129,"Non-Injury Crash","Taranaki Region","Fine"
174.062704559362,-39.0706219085204,"Non-Injury Crash","Taranaki Region","Fine"
174.282794976337,-39.5917771371801,"Non-Injury Crash","Taranaki Region","Fine"
174.544055287713,-39.7664319298601,"Minor Crash","Taranaki Region","Fine"
174.527733583768,-38.9459746316202,"Non-Injury Crash","Taranaki Region","Heavy rain"
174.235287689617,-39.0023039513297,"Non-Injury Crash","Taranaki Region","Fine"
173.886023572446,-39.1866272592901,"Non-Injury Crash","Taranaki Region","Fine"
173.993572985535,-39.0982552899777,"Minor Crash","Taranaki Region","Fine"
174.257426315887,-39.2709557069948,"Non-Injury Crash","Taranaki Region","Fine"
174.174760861456,-39.0272947431352,"Serious Crash","Taranaki Region","Fine"
174.082842706905,-39.0571004665825,"Non-Injury Crash","Taranaki Region","Fine"
174.082837492003,-39.0590288544697,"Non-Injury Crash","Taranaki Region","Light rain"
174.075735675317,-39.0601939179262,"Minor Crash","Taranaki Region","Fine"
174.070566799923,-39.5441813974328,"Minor Crash","Taranaki Region","Fine"
173.905491223833,-39.1697894915364,"Minor Crash","Taranaki Region","Fine"
174.471216192165,-38.9582436848126,"Non-Injury Crash","Taranaki Region","Light rain"
174.041632865986,-39.0675681097071,"Minor Crash","Taranaki Region","Fine"
174.229763626159,-39.0060748121817,"Non-Injury Crash","Taranaki Region","Fine"
174.293522684759,-39.355258174022,"Fatal Crash","Taranaki Region","Mist or Fog"
174.103108850576,-39.0641823293625,"Minor Crash","Taranaki Region","Fine"
174.279524914381,-39.5279318783328,"Fatal Crash","Taranaki Region","Fine"
174.197597888604,-39.5837666236395,"Non-Injury Crash","Taranaki Region","Fine"
174.112159885112,-39.1017798411722,"Non-Injury Crash","Taranaki Region","Fine"
174.05109264505,-39.0647529081553,"Non-Injury Crash","Taranaki Region","Fine"
174.130957380947,-39.0405412550667,"Non-Injury Crash","Taranaki Region","Fine"
174.021378396902,-39.0665578351377,"Non-Injury Crash","Taranaki Region","Fine"
174.116564176356,-39.0466541889339,"Non-Injury Crash","Taranaki Region","Heavy rain"
174.116088982779,-39.04729851343,"Non-Injury Crash","Taranaki Region","Heavy rain"
174.067679141917,-39.080857918844,"Non-Injury Crash","Taranaki Region","Fine"
173.946135745765,-39.132756271928,"Non-Injury Crash","Taranaki Region","Fine"
174.294352183163,-39.3354261461025,"Minor Crash","Taranaki Region","Fine"
174.075619243186,-39.0563293003032,"Non-Injury Crash","Taranaki Region","Fine"
174.276147500825,-39.5315640423645,"Non-Injury Crash","Taranaki Region","Heavy rain"
174.282718351566,-39.3343655825154,"Non-Injury Crash","Taranaki Region","Light rain"
174.49232997153,-39.744503527696,"Minor Crash","Taranaki Region","Fine"
174.141511344573,-39.0666691675983,"Non-Injury Crash","Taranaki Region","Light rain"
173.879977488327,-39.1911064178118,"Non-Injury Crash","Taranaki Region","Fine"
174.06071183118,-39.0618273600256,"Non-Injury Crash","Taranaki Region","Fine"
174.285829651049,-39.3420621567433,"Non-Injury Crash","Taranaki Region","Light rain"
174.194837287742,-39.0217112936861,"Non-Injury Crash","Taranaki Region","Fine"
174.09074077078,-39.0551345648705,"Non-Injury Crash","Taranaki Region","Fine"
174.072782127911,-39.0620683681711,"Non-Injury Crash","Taranaki Region","Fine"
174.111042812409,-39.0504824998865,"Non-Injury Crash","Taranaki Region","Light rain"
174.083172994861,-39.0560250980077,"Non-Injury Crash","Taranaki Region","Fine"
174.07237666506,-39.06124309176,"Minor Crash","Taranaki Region","Fine"
174.08694270112,-39.0538994856495,"Serious Crash","Taranaki Region","Heavy rain"
174.282761708461,-39.5918676045992,"Non-Injury Crash","Taranaki Region","Fine"
174.114775433718,-39.0482752461391,"Minor Crash","Taranaki Region","Fine"
174.365454752351,-38.9966809502875,"Non-Injury Crash","Taranaki Region","Fine"
174.111071669445,-39.1009702305746,"Serious Crash","Taranaki Region","Fine"
174.075639282584,-39.0553649449031,"Non-Injury Crash","Taranaki Region","Fine"
174.12423400765,-39.0442737074507,"Non-Injury Crash","Taranaki Region","Fine"
174.041632865986,-39.0675681097071,"Non-Injury Crash","Taranaki Region","Fine"
173.920308899724,-39.1547333847867,"Non-Injury Crash","Taranaki Region","Fine"
174.07855993566,-39.057428506309,"Non-Injury Crash","Taranaki Region","Fine"
174.071924850579,-39.06040922893,"Non-Injury Crash","Taranaki Region","Fine"
174.163657016803,-39.0391472766031,"Minor Crash","Taranaki Region","Fine"
174.15349421013,-39.430714777316,"Non-Injury Crash","Taranaki Region","Fine"
174.593262489299,-38.8830683571428,"Non-Injury Crash","Taranaki Region","Fine"
174.079225151263,-39.0791026231162,"Non-Injury Crash","Taranaki Region","Fine"
173.908447873127,-39.4956083741785,"Non-Injury Crash","Taranaki Region","Heavy rain"
174.281883908354,-39.5941568254101,"Non-Injury Crash","Taranaki Region","Fine"
174.035692247675,-39.0699909036442,"Non-Injury Crash","Taranaki Region","Fine"
174.28862532343,-39.3413824865877,"Non-Injury Crash","Taranaki Region","Fine"
174.248131384485,-39.0030773422293,"Minor Crash","Taranaki Region","Fine"
174.083423508757,-39.056536394115,"Non-Injury Crash","Taranaki Region","Fine"
174.208113614216,-39.1561058500494,"Non-Injury Crash","Taranaki Region","Fine"
174.113683247128,-39.1214179245265,"Non-Injury Crash","Taranaki Region","Fine"
174.040654149297,-39.1818165034484,"Non-Injury Crash","Taranaki Region","Mist or Fog"
174.107602937726,-39.0514703794708,"Non-Injury Crash","Taranaki Region","Fine"
174.580508604902,-38.9073635891999,"Non-Injury Crash","Taranaki Region","Heavy rain"
173.915499273289,-39.1568978356276,"Minor Crash","Taranaki Region","Fine"
174.269549068842,-39.5908684640029,"Non-Injury Crash","Taranaki Region","Heavy rain"
174.048578507784,-39.0768501944548,"Non-Injury Crash","Taranaki Region","Fine"
174.337202984212,-39.3355093284382,"Non-Injury Crash","Taranaki Region","Fine"
174.050034069598,-39.0650778281516,"Minor Crash","Taranaki Region","Fine"
174.220408250386,-38.9912419516733,"Non-Injury Crash","Taranaki Region","Fine"
174.160566610322,-39.029635508879,"Non-Injury Crash","Taranaki Region","Fine"
173.913320879815,-39.4991743415103,"Non-Injury Crash","Taranaki Region","Fine"
174.274122976845,-39.5449302039753,"Non-Injury Crash","Taranaki Region","Fine"
174.150463973111,-39.0278703333166,"Non-Injury Crash","Taranaki Region","Fine"
174.090350288614,-39.0748270703156,"Non-Injury Crash","Taranaki Region","Light rain"
174.23897457959,-39.0004897024975,"Minor Crash","Taranaki Region","Fine"
