"X","Y","crashSeverity","region","weatherA"
172.176955835354,-41.7763371690981,"SeriousCrash","Tasman Region","Heavy rain"
172.957518607106,-41.4562497889486,"SeriousCrash","Tasman Region","Fine"
172.717541002513,-41.6289425223574,"Non-InjuryCrash","Tasman Region","Heavy rain"
172.958065042302,-41.052392500919,"Non-InjuryCrash","Tasman Region","Fine"
172.175665279378,-41.7775168284223,"Non-InjuryCrash","Tasman Region","Fine"
173.007846474463,-41.0902069736267,"Non-InjuryCrash","Tasman Region","Fine"
172.836288262254,-41.4516283745202,"Non-InjuryCrash","Tasman Region","Fine"
172.689330767658,-40.5951335329425,"Non-InjuryCrash","Tasman Region","Fine"
172.966740105502,-41.1230368619866,"Non-InjuryCrash","Tasman Region","Fine"
172.758922108861,-41.6033930771647,"MinorCrash","Tasman Region","Fine"
172.845917634297,-41.0437123518559,"Non-InjuryCrash","Tasman Region","Fine"
172.253461509251,-41.8559311118968,"MinorCrash","Tasman Region","Light rain"
172.824618730574,-41.7869965635842,"MinorCrash","Tasman Region","Fine"
173.010067176641,-41.1299413823002,"Non-InjuryCrash","Tasman Region","Fine"
172.8108149236,-41.3636031331635,"Non-InjuryCrash","Tasman Region","Fine"
172.816726499409,-40.873574956566,"SeriousCrash","Tasman Region","Fine"
172.417701863321,-41.7099778113346,"Non-InjuryCrash","Tasman Region","Fine"
173.070757334584,-41.2528604307217,"Non-InjuryCrash","Tasman Region","Fine"
173.112315671907,-41.3693065914625,"SeriousCrash","Tasman Region","Fine"
173.011147997087,-41.1102226596086,"MinorCrash","Tasman Region","Light rain"
172.590137715756,-41.7034444562749,"Non-InjuryCrash","Tasman Region","Heavy rain"
173.109061422199,-41.3753628641446,"Non-InjuryCrash","Tasman Region","Fine"
173.07117399164,-41.2738303906646,"MinorCrash","Tasman Region","Fine"
172.80790241526,-41.4675547948954,"Non-InjuryCrash","Tasman Region","Fine"
172.2460773428,-41.8814891739458,"Non-InjuryCrash","Tasman Region","Mist or Fog"
