"X","Y","crashSeverity","region","weatherA"
171.605023066666,-41.7633761888076,"MinorCrash","West Coast Region","Fine"
171.360097970033,-42.7656668557867,"MinorCrash","West Coast Region","Fine"
170.181483153289,-43.3928372944746,"Non-InjuryCrash","West Coast Region","Fine"
172.09554589855,-41.8087172345305,"Non-InjuryCrash","West Coast Region","Light rain"
170.961868204453,-42.7170003052481,"Non-InjuryCrash","West Coast Region","Fine"
171.857095725553,-42.1140843204925,"Non-InjuryCrash","West Coast Region","Fine"
170.684680342726,-42.9805854844211,"Non-InjuryCrash","West Coast Region","Fine"
171.206643478043,-42.4566894756109,"Non-InjuryCrash","West Coast Region","Fine"
171.882848409312,-42.1299188592313,"FatalCrash","West Coast Region","Fine"
169.917141732958,-43.4582296962411,"Non-InjuryCrash","West Coast Region","Heavy rain"
172.365953191491,-42.3749001906715,"SeriousCrash","West Coast Region","Fine"
171.245719314546,-42.46537235971,"Non-InjuryCrash","West Coast Region","Fine"
170.916507703095,-42.8162922515619,"MinorCrash","West Coast Region","Fine"
171.201035741847,-42.4601317467774,"Non-InjuryCrash","West Coast Region","Heavy rain"
168.797769634818,-43.9895796385216,"Non-InjuryCrash","West Coast Region","Light rain"
171.60228844532,-41.7580109598406,"Non-InjuryCrash","West Coast Region","Light rain"
171.322361743492,-42.7564211494744,"SeriousCrash","West Coast Region","Fine"
171.208695563086,-42.4533895193649,"Non-InjuryCrash","West Coast Region","Fine"
171.599073716937,-41.7570441063963,"Non-InjuryCrash","West Coast Region","Fine"
171.852739059201,-42.1048093719747,"Non-InjuryCrash","West Coast Region","Fine"
171.272452047081,-42.4455429769498,"MinorCrash","West Coast Region","Fine"
169.38293448087,-44.0616696353017,"FatalCrash","West Coast Region","Heavy rain"
171.605848263555,-41.7541542970255,"Non-InjuryCrash","West Coast Region","Fine"
170.889627525695,-42.8014009341867,"MinorCrash","West Coast Region","Fine"
171.592158581265,-41.7344156606611,"MinorCrash","West Coast Region","Light rain"
171.574587356479,-42.6480287751544,"Non-InjuryCrash","West Coast Region","Fine"
171.208149519502,-42.4542004873891,"Non-InjuryCrash","West Coast Region","Fine"
171.415862721263,-41.9796819289869,"Non-InjuryCrash","West Coast Region","Light rain"
171.583210300582,-41.754201573709,"Non-InjuryCrash","West Coast Region","Light rain"
171.241303081555,-42.4306421973572,"MinorCrash","West Coast Region","Fine"
171.430462710583,-41.9361385759828,"MinorCrash","West Coast Region","Fine"
172.3820831174,-42.3749252183765,"Non-InjuryCrash","West Coast Region","Fine"
171.209776987746,-42.449579057612,"Non-InjuryCrash","West Coast Region","Fine"
170.90271204735,-42.7829471643073,"Non-InjuryCrash","West Coast Region","Heavy rain"
171.210834928643,-42.4504330980519,"Non-InjuryCrash","West Coast Region","Fine"
171.592985007174,-42.7927914981449,"SeriousCrash","West Coast Region","Fine"
171.599673817043,-41.7532325637533,"Non-InjuryCrash","West Coast Region","Light rain"
171.188860907203,-42.4711158180585,"Non-InjuryCrash","West Coast Region","Heavy rain"
171.412289937555,-41.9816229596075,"Non-InjuryCrash","West Coast Region","Fine"
171.31392103413,-42.4476105388596,"MinorCrash","West Coast Region","Fine"
170.999573444604,-42.7563150408155,"Non-InjuryCrash","West Coast Region","Fine"
171.252236041932,-42.4654719443969,"Non-InjuryCrash","West Coast Region","Fine"
171.619217899864,-41.767321511147,"Non-InjuryCrash","West Coast Region","Fine"
171.145135817335,-42.7235919796919,"Non-InjuryCrash","West Coast Region","Light rain"
170.964932385939,-42.7189008519935,"Non-InjuryCrash","West Coast Region","Fine"
171.598284503587,-41.7535128425944,"Non-InjuryCrash","West Coast Region","Heavy rain"
170.374129480565,-43.2646892579367,"SeriousCrash","West Coast Region","Light rain"
171.469432442222,-41.888840515482,"Non-InjuryCrash","West Coast Region","Fine"
171.144281094354,-42.5602857614781,"Non-InjuryCrash","West Coast Region","Light rain"
170.962973268426,-42.7171910683061,"Non-InjuryCrash","West Coast Region","Fine"
171.429460183089,-41.9381603105042,"Non-InjuryCrash","West Coast Region","Heavy rain"
171.20965903024,-42.4494511368525,"Non-InjuryCrash","West Coast Region","Fine"
172.032434062024,-41.791495271332,"MinorCrash","West Coast Region","Fine"
172.186998244055,-42.3470409707324,"MinorCrash","West Coast Region","Fine"
171.614474140978,-41.8222502446703,"FatalCrash","West Coast Region","Light rain"
171.144281094354,-42.5602857614781,"Non-InjuryCrash","West Coast Region","Heavy rain"
171.037852139503,-42.6658367353977,"Non-InjuryCrash","West Coast Region","Light rain"
171.586084410514,-41.7547773889156,"MinorCrash","West Coast Region","Light rain"
171.206090377091,-42.4675415005781,"Non-InjuryCrash","West Coast Region","Fine"
171.603358364586,-41.749719751734,"MinorCrash","West Coast Region","Light rain"
171.31843944687,-42.2583761367208,"Non-InjuryCrash","West Coast Region","Heavy rain"
171.320351728342,-42.4372134307645,"Non-InjuryCrash","West Coast Region","Fine"
171.598262413425,-41.7534225055946,"Non-InjuryCrash","West Coast Region","Light rain"
172.074214881385,-41.8119698907826,"Non-InjuryCrash","West Coast Region","Fine"
171.87034784513,-42.1198264906687,"Non-InjuryCrash","West Coast Region","Fine"
171.618358011226,-41.763663443543,"Non-InjuryCrash","West Coast Region","Fine"
171.250951734139,-42.4438840040013,"FatalCrash","West Coast Region","Fine"
171.635658441967,-42.2950918847007,"Non-InjuryCrash","West Coast Region","Fine"
171.201593479323,-42.4584924873894,"Non-InjuryCrash","West Coast Region","Fine"
171.330647238956,-42.1304894746473,"MinorCrash","West Coast Region","Light rain"
172.069923235507,-41.8131961768288,"SeriousCrash","West Coast Region","Fine"
171.249547113875,-42.480776346615,"MinorCrash","West Coast Region","Fine"
171.210359712078,-42.4508939662246,"MinorCrash","West Coast Region","Fine"
172.23653876384,-42.2290229050978,"SeriousCrash","West Coast Region","Fine"
171.475955680992,-42.3374882400279,"SeriousCrash","West Coast Region","Fine"
172.338860370529,-42.3801777838571,"MinorCrash","West Coast Region","Light rain"
171.068851153291,-42.6357009544121,"MinorCrash","West Coast Region","Fine"
171.214582846685,-42.4490596714774,"Non-InjuryCrash","West Coast Region","Light rain"
170.403915605594,-43.2853946760983,"Non-InjuryCrash","West Coast Region","Fine"
171.86504288622,-42.1188284742498,"Non-InjuryCrash","West Coast Region","Light rain"
170.033540525613,-43.4588893965045,"SeriousCrash","West Coast Region","Heavy rain"
172.061820315988,-42.291112075452,"MinorCrash","West Coast Region","Fine"
172.144948227321,-42.3385576098425,"MinorCrash","West Coast Region","Light rain"
172.144548461382,-42.3393921894932,"MinorCrash","West Coast Region","Light rain"
171.249628999904,-42.3935493951913,"MinorCrash","West Coast Region","Fine"
171.266170966446,-42.4457903266897,"MinorCrash","West Coast Region","Fine"
