"X","Y","crashSeverity","region","weatherA"
178.031839713368,-38.6697929132326,"Non-Injury Crash","Gisborne Region","Fine"
178.018628379889,-38.6610515749939,"Non-Injury Crash","Gisborne Region","Fine"
177.892181386457,-38.6151584019035,"Minor Crash","Gisborne Region","Fine"
178.018930860752,-38.6701328689946,"Minor Crash","Gisborne Region","Fine"
178.050617427947,-38.6733665191868,"Non-Injury Crash","Gisborne Region","Fine"
177.808810817111,-38.3726971655404,"Non-Injury Crash","Gisborne Region","Heavy rain"
178.015427393186,-38.6586320055391,"Non-Injury Crash","Gisborne Region","Fine"
177.998101993021,-38.6515957259623,"Non-Injury Crash","Gisborne Region","Fine"
178.026080269677,-38.6646386380711,"Non-Injury Crash","Gisborne Region","Fine"
177.89726682929,-38.4890418332131,"Minor Crash","Gisborne Region","Fine"
178.010082218646,-38.6648044828867,"Minor Crash","Gisborne Region","Fine"
178.000957245935,-38.6614231613312,"Non-Injury Crash","Gisborne Region","Heavy rain"
177.900144243113,-38.594419885117,"Minor Crash","Gisborne Region","Fine"
178.026059262925,-38.666305327696,"Non-Injury Crash","Gisborne Region","Fine"
178.026993677138,-38.6671835014175,"Non-Injury Crash","Gisborne Region","Fine"
178.031839713368,-38.6697929132326,"Non-Injury Crash","Gisborne Region","Fine"
178.02390524911,-38.6649033980912,"Non-Injury Crash","Gisborne Region","Fine"
178.030372319048,-38.6588620311523,"Minor Crash","Gisborne Region","Fine"
178.026275045877,-38.664468170631,"Non-Injury Crash","Gisborne Region","Fine"
178.025685931397,-38.6662223636536,"Non-Injury Crash","Gisborne Region","Fine"
178.026109343726,-38.6665282762137,"Non-Injury Crash","Gisborne Region","Fine"
177.876776123497,-38.643348400453,"Non-Injury Crash","Gisborne Region","Fine"
178.025770487746,-38.6662817508811,"Non-Injury Crash","Gisborne Region","Fine"
178.280834800561,-38.4206355995978,"Non-Injury Crash","Gisborne Region","Heavy rain"
178.295184076755,-37.8994116004867,"Non-Injury Crash","Gisborne Region","Fine"
178.018882641901,-38.6612387315842,"Non-Injury Crash","Gisborne Region","Fine"
178.275247774851,-38.2982056425858,"Serious Crash","Gisborne Region","Light rain"
178.029754868309,-38.6692165035436,"Minor Crash","Gisborne Region","Fine"
