"X","Y","crashSeverity","region","weatherA"
175.67775226231,-40.2879097815938,"Minor Crash","Manawatū-Whanganui Region","Fine"
175.562711846264,-40.4298940423334,"Minor Crash","Manawatū-Whanganui Region","Fine"
175.212112508463,-40.0375387227306,"Minor Crash","Manawatū-Whanganui Region","Fine"
175.269305899528,-40.5958110095633,"Non-Injury Crash","Manawatū-Whanganui Region","Fine"
175.531829559766,-39.9634014257214,"Non-Injury Crash","Manawatū-Whanganui Region","Snow"
175.343983334548,-38.617710807837,"Minor Crash","Manawatū-Whanganui Region","Fine"
175.290702919254,-38.8814130030203,"Serious Crash","Manawatū-Whanganui Region","Fine"
175.492520790179,-40.3920115426273,"Non-Injury Crash","Manawatū-Whanganui Region","Heavy rain"
175.58033643348,-40.2397257982012,"Minor Crash","Manawatū-Whanganui Region","Fine"
175.282949646352,-40.6553533095909,"Non-Injury Crash","Manawatū-Whanganui Region","Heavy rain"
175.283739126554,-39.5807898197238,"Non-Injury Crash","Manawatū-Whanganui Region","Heavy rain"
175.049857013205,-39.9191663045954,"Minor Crash","Manawatū-Whanganui Region","Light rain"
175.921185795678,-40.3187385104142,"Non-Injury Crash","Manawatū-Whanganui Region","Fine"
175.452608130054,-40.4617752243352,"Non-Injury Crash","Manawatū-Whanganui Region","Fine"
175.797852607507,-39.8001542989531,"Minor Crash","Manawatū-Whanganui Region","Fine"
175.700251248418,-39.3967419722677,"Non-Injury Crash","Manawatū-Whanganui Region","Fine"
175.386475069469,-39.3189277050715,"Non-Injury Crash","Manawatū-Whanganui Region","Snow"
175.317470926874,-40.6197155031263,"Fatal Crash","Manawatū-Whanganui Region","Fine"
175.747591350617,-40.298773801892,"Non-Injury Crash","Manawatū-Whanganui Region","Light rain"
175.376659689788,-39.0036331806944,"Non-Injury Crash","Manawatū-Whanganui Region","Fine"
175.470656174412,-40.1316724483094,"Non-Injury Crash","Manawatū-Whanganui Region","Fine"
175.532424862204,-40.4486042995331,"Non-Injury Crash","Manawatū-Whanganui Region","Fine"
175.408412768928,-39.4213788783584,"Non-Injury Crash","Manawatū-Whanganui Region","Heavy rain"
175.285467297137,-40.6213444320399,"Non-Injury Crash","Manawatū-Whanganui Region","Fine"
175.577150505937,-40.3572949850081,"Non-Injury Crash","Manawatū-Whanganui Region","Fine"
175.60238476047,-40.3720066678943,"Non-Injury Crash","Manawatū-Whanganui Region","Fine"
175.054120575402,-39.9361536507408,"Non-Injury Crash","Manawatū-Whanganui Region","Fine"
175.284824004037,-40.623627113995,"Non-Injury Crash","Manawatū-Whanganui Region","Fine"
175.555843770226,-40.3075585475161,"Non-Injury Crash","Manawatū-Whanganui Region","Fine"
175.61362778659,-40.3594033892818,"Minor Crash","Manawatū-Whanganui Region","Fine"
175.619162098672,-39.924138826746,"Minor Crash","Manawatū-Whanganui Region","Heavy rain"
175.614480633725,-40.3503943978401,"Non-Injury Crash","Manawatū-Whanganui Region","Fine"
175.61413498174,-40.3240725914918,"Non-Injury Crash","Manawatū-Whanganui Region","Fine"
175.292284268662,-40.6139670492039,"Non-Injury Crash","Manawatū-Whanganui Region","Fine"
176.105097271936,-40.209541568827,"Non-Injury Crash","Manawatū-Whanganui Region","Fine"
174.998165123591,-39.9408525654797,"Non-Injury Crash","Manawatū-Whanganui Region","Fine"
175.86635049421,-40.3382343167888,"Non-Injury Crash","Manawatū-Whanganui Region","Fine"
175.384899585393,-40.1745398336881,"Non-Injury Crash","Manawatū-Whanganui Region","Fine"
175.053078719311,-39.9467124853806,"Non-Injury Crash","Manawatū-Whanganui Region","Fine"
175.631196745307,-40.3515463831602,"Non-Injury Crash","Manawatū-Whanganui Region","Fine"
175.729647604862,-40.4159821006496,"Non-Injury Crash","Manawatū-Whanganui Region","Light rain"
175.842838224478,-40.4509030351385,"Non-Injury Crash","Manawatū-Whanganui Region","Fine"
175.403391654134,-38.8899406892391,"Fatal Crash","Manawatū-Whanganui Region","Heavy rain"
175.174677399813,-40.6927726236585,"Minor Crash","Manawatū-Whanganui Region","Fine"
175.431677287267,-40.5229209099519,"Non-Injury Crash","Manawatū-Whanganui Region","Light rain"
175.382754509748,-40.0997614341509,"Non-Injury Crash","Manawatū-Whanganui Region","Fine"
175.61362778659,-40.3594033892818,"Minor Crash","Manawatū-Whanganui Region","Fine"
175.840558306549,-40.4533190464422,"Non-Injury Crash","Manawatū-Whanganui Region","Fine"
175.302062874317,-39.5247878133548,"Minor Crash","Manawatū-Whanganui Region","Fine"
