"X","Y","crashSeverity","region","weatherA"
173.851347925604,-41.5129702096909,"MinorCrash","Marlborough Region","Null"
173.968165313216,-41.4808808292544,"Non-InjuryCrash","Marlborough Region","Fine"
173.961627573598,-41.5134160048547,"Non-InjuryCrash","Marlborough Region","Fine"
174.005304383497,-41.4349039655939,"Non-InjuryCrash","Marlborough Region","Light rain"
173.955115820363,-41.5082100185532,"Non-InjuryCrash","Marlborough Region","Fine"
174.073275222657,-41.6783032114979,"Non-InjuryCrash","Marlborough Region","Fine"
174.045926117879,-41.2682724688477,"Non-InjuryCrash","Marlborough Region","Fine"
173.936665060042,-41.5291685833032,"Non-InjuryCrash","Marlborough Region","Heavy rain"
174.037816311968,-41.5769390027218,"MinorCrash","Marlborough Region","Fine"
173.658145302117,-41.5340453048259,"Non-InjuryCrash","Marlborough Region","Fine"
173.931847962062,-41.4991954462888,"Non-InjuryCrash","Marlborough Region","Fine"
173.285139335252,-41.6514539567436,"MinorCrash","Marlborough Region","Fine"
173.954416948736,-41.5283380651497,"Non-InjuryCrash","Marlborough Region","Fine"
173.846329735703,-41.5131964027047,"Non-InjuryCrash","Marlborough Region","Heavy rain"
174.073591771771,-41.68072313396,"MinorCrash","Marlborough Region","Fine"
173.985464569119,-41.3076827697855,"Non-InjuryCrash","Marlborough Region","Fine"
173.94151715279,-41.510808165334,"Non-InjuryCrash","Marlborough Region","Fine"
173.865596163158,-41.5021541512976,"Non-InjuryCrash","Marlborough Region","Fine"
173.965567429529,-41.5132298686859,"Non-InjuryCrash","Marlborough Region","Fine"
173.961328388417,-41.5280192836332,"Non-InjuryCrash","Marlborough Region","Fine"
173.573266453553,-41.2651018255759,"MinorCrash","Marlborough Region","Fine"
173.962081564237,-41.4728432951533,"Non-InjuryCrash","Marlborough Region","Light rain"
173.55418022695,-41.1905744535521,"Non-InjuryCrash","Marlborough Region","Light rain"
173.960050807534,-41.4277243149435,"Non-InjuryCrash","Marlborough Region","Fine"
173.905263900624,-41.5105137806453,"MinorCrash","Marlborough Region","Fine"
173.824496270493,-41.5142016951086,"Non-InjuryCrash","Marlborough Region","Fine"
173.952989376043,-41.5143706260913,"Non-InjuryCrash","Marlborough Region","Fine"
173.939869759136,-41.4988149141923,"MinorCrash","Marlborough Region","Fine"
173.963252122962,-41.3389829368748,"Non-InjuryCrash","Marlborough Region","Fine"
173.954580736356,-41.5117543239175,"MinorCrash","Marlborough Region","Fine"
173.955476241792,-41.5384173862067,"Non-InjuryCrash","Marlborough Region","Fine"
174.070197717305,-41.2602487918661,"Non-InjuryCrash","Marlborough Region","Fine"
173.785459620158,-41.2743076406683,"Non-InjuryCrash","Marlborough Region","Fine"
173.996701817435,-41.2666284093147,"MinorCrash","Marlborough Region","Fine"
174.009310090096,-41.2907400434303,"MinorCrash","Marlborough Region","Fine"
173.965112469604,-41.4414092339875,"Non-InjuryCrash","Marlborough Region","Fine"
173.767316147029,-41.2849419798672,"Non-InjuryCrash","Marlborough Region","Fine"
174.040022702627,-41.5798824172365,"MinorCrash","Marlborough Region","Light rain"
173.95345868148,-41.5283820435873,"MinorCrash","Marlborough Region","Fine"
173.769566993421,-41.5166270480301,"MinorCrash","Marlborough Region","Fine"
173.943644047434,-41.5087370711591,"SeriousCrash","Marlborough Region","Fine"
173.955941995478,-41.5081671249203,"Non-InjuryCrash","Marlborough Region","Fine"
173.961453521339,-41.5008432885771,"Non-InjuryCrash","Marlborough Region","Fine"
174.146335260364,-41.8068731917394,"MinorCrash","Marlborough Region","Fine"
173.99793591986,-41.5273201097003,"MinorCrash","Marlborough Region","Fine"
173.953295102133,-41.5164217511522,"Non-InjuryCrash","Marlborough Region","Fine"
173.96133369208,-41.5267582235506,"Non-InjuryCrash","Marlborough Region","Fine"
173.936415773124,-41.5467887888817,"MinorCrash","Marlborough Region","Light rain"
173.95805112477,-41.5301183028328,"Non-InjuryCrash","Marlborough Region","Light rain"
173.797223734734,-41.2804691033681,"Non-InjuryCrash","Marlborough Region","Fine"
173.970284840215,-41.5161625631127,"Non-InjuryCrash","Marlborough Region","Fine"
173.96096757538,-41.5222666610067,"Non-InjuryCrash","Marlborough Region","Fine"
173.959379097513,-41.5031664795504,"MinorCrash","Marlborough Region","Fine"
173.951822930987,-41.3855117475547,"Non-InjuryCrash","Marlborough Region","Fine"
174.092020132831,-41.9216253777546,"Non-InjuryCrash","Marlborough Region","Fine"
174.053729740811,-41.9604053140324,"Non-InjuryCrash","Marlborough Region","Heavy rain"
174.021183226648,-41.5345649923787,"Non-InjuryCrash","Marlborough Region","Fine"
173.954908340707,-41.5152914646112,"SeriousCrash","Marlborough Region","Fine"
173.939668442676,-41.5089227478418,"Non-InjuryCrash","Marlborough Region","Fine"
174.000777099996,-41.2973900932442,"Non-InjuryCrash","Marlborough Region","Fine"
173.942074581658,-41.5112359500754,"Non-InjuryCrash","Marlborough Region","Fine"
173.703232492954,-41.614951804661,"SeriousCrash","Marlborough Region","Fine"
173.95436827528,-41.5144222419905,"Non-InjuryCrash","Marlborough Region","Fine"
173.952649371737,-41.5107975527087,"MinorCrash","Marlborough Region","Fine"
173.954402992405,-41.5118909083874,"Non-InjuryCrash","Marlborough Region","Fine"
173.944526704969,-41.5405975283681,"Non-InjuryCrash","Marlborough Region","Fine"
173.98194145295,-41.5269984317102,"Non-InjuryCrash","Marlborough Region","Light rain"
173.95665523216,-41.5134754905052,"Non-InjuryCrash","Marlborough Region","Heavy rain"
174.080618578979,-41.937756002397,"Non-InjuryCrash","Marlborough Region","Fine"
173.964320912828,-41.4186631722625,"Non-InjuryCrash","Marlborough Region","Fine"
173.798206038729,-41.5153689724792,"Non-InjuryCrash","Marlborough Region","Fine"
173.963019074716,-41.5127017931538,"Non-InjuryCrash","Marlborough Region","Fine"
174.041065006425,-41.5865202554795,"Non-InjuryCrash","Marlborough Region","Light rain"
173.573451741223,-41.2808194290127,"SeriousCrash","Marlborough Region","Fine"
173.963292433008,-41.4535123888096,"Non-InjuryCrash","Marlborough Region","Fine"
173.949996120392,-41.5342203792473,"Non-InjuryCrash","Marlborough Region","Fine"
173.951243852744,-41.4982800419195,"Non-InjuryCrash","Marlborough Region","Fine"
173.967860788162,-41.6276288927805,"Non-InjuryCrash","Marlborough Region","Fine"
173.96048793764,-41.5149567656951,"Non-InjuryCrash","Marlborough Region","Fine"
173.817101835384,-41.4865298778842,"MinorCrash","Marlborough Region","Fine"
173.957434208359,-41.522422235152,"Non-InjuryCrash","Marlborough Region","Fine"
173.950816304788,-41.5198290072913,"SeriousCrash","Marlborough Region","Fine"
173.960050807534,-41.4277243149435,"MinorCrash","Marlborough Region","Fine"
174.005844805742,-41.2929502149486,"MinorCrash","Marlborough Region","Fine"
173.898693137548,-41.5006933059236,"MinorCrash","Marlborough Region","Fine"
173.93266317991,-41.5092499921136,"MinorCrash","Marlborough Region","Fine"
173.9432968491,-41.5087579341191,"Non-InjuryCrash","Marlborough Region","Fine"
173.763899031462,-41.3523237996858,"Non-InjuryCrash","Marlborough Region","Fine"
174.078662876322,-41.6836569576196,"Non-InjuryCrash","Marlborough Region","Light rain"
173.960368113033,-41.5149577664221,"Non-InjuryCrash","Marlborough Region","Fine"
174.009549052288,-41.2907469554871,"Non-InjuryCrash","Marlborough Region","Fine"
173.563070347411,-41.2024307316278,"Non-InjuryCrash","Marlborough Region","Fine"
173.947516099105,-41.3730719258047,"Non-InjuryCrash","Marlborough Region","Fine"
174.033096723921,-41.5653082241194,"Non-InjuryCrash","Marlborough Region","Fine"
174.047280529244,-41.3917173064837,"MinorCrash","Marlborough Region","Fine"
173.957391189516,-41.5138116424654,"Non-InjuryCrash","Marlborough Region","Fine"
173.954603582282,-41.5108624133552,"Non-InjuryCrash","Marlborough Region","Fine"
173.719084717105,-41.5021637103634,"MinorCrash","Marlborough Region","Heavy rain"
173.563070347411,-41.2024307316278,"Non-InjuryCrash","Marlborough Region","Heavy rain"
173.764276866989,-41.3355671629637,"Non-InjuryCrash","Marlborough Region","Fine"
173.951201577156,-41.5117643088556,"SeriousCrash","Marlborough Region","Fine"
173.949858419896,-41.5174319815255,"MinorCrash","Marlborough Region","Fine"
173.769507183243,-41.5166364555771,"MinorCrash","Marlborough Region","Fine"
173.9541471917,-41.5222153663688,"SeriousCrash","Marlborough Region","Light rain"
173.763807808858,-41.3711051854184,"MinorCrash","Marlborough Region","Heavy rain"
173.964494201318,-41.495017127461,"FatalCrash","Marlborough Region","Fine"
174.146855968164,-41.8036705905144,"MinorCrash","Marlborough Region","Fine"
173.957738116528,-41.5080801226231,"MinorCrash","Marlborough Region","Fine"
173.840472610687,-41.5134195037041,"MinorCrash","Marlborough Region","Fine"
173.93428514766,-41.5811686189664,"MinorCrash","Marlborough Region","Fine"
173.688557332709,-41.5136547650111,"FatalCrash","Marlborough Region","Fine"
173.980261848849,-41.4959196539819,"Non-InjuryCrash","Marlborough Region","Fine"
173.934281436469,-41.5292870540456,"Non-InjuryCrash","Marlborough Region","Fine"
173.95417645181,-41.5225754141979,"Non-InjuryCrash","Marlborough Region","Fine"
173.944263635697,-41.498598776303,"Non-InjuryCrash","Marlborough Region","Light rain"
173.817226121274,-41.5145238072696,"Non-InjuryCrash","Marlborough Region","Fine"
174.005678450724,-41.2906727458631,"Non-InjuryCrash","Marlborough Region","Light rain"
173.9561811935,-41.5105790886237,"Non-InjuryCrash","Marlborough Region","Fine"
173.954644530377,-41.5283271687914,"Non-InjuryCrash","Marlborough Region","Fine"
