"X","Y","crashSeverity","region","weatherA"
173.933103739673,-35.2526269875301,"Non-Injury Crash","Northland Region","Heavy rain"
174.445903772374,-35.9642452521858,"Non-Injury Crash","Northland Region","Fine"
174.317347682453,-35.7301166628213,"Non-Injury Crash","Northland Region","Light rain"
174.29787066211,-35.6752066891002,"Minor Crash","Northland Region","Fine"
173.042290497823,-34.7238086042108,"Serious Crash","Northland Region","Fine"
174.319191262861,-35.7111637082692,"Non-Injury Crash","Northland Region","Fine"
174.236387560953,-35.7693645413549,"Non-Injury Crash","Northland Region","Fine"
174.321088592587,-35.7269923129665,"Non-Injury Crash","Northland Region","Fine"
174.312724415191,-35.676767627815,"Non-Injury Crash","Northland Region","Light rain"
174.316295407128,-35.7273153166812,"Non-Injury Crash","Northland Region","Fine"
174.282958277504,-35.7389269219723,"Serious Crash","Northland Region","Fine"
174.309242391284,-35.7064309725572,"Minor Crash","Northland Region","Light rain"
173.312350392334,-35.1224854128794,"Minor Crash","Northland Region","Light rain"
173.968698150114,-35.2269203217361,"Minor Crash","Northland Region","Fine"
174.299525688335,-35.6696081239048,"Minor Crash","Northland Region","Light rain"
174.423880133525,-36.0770885413992,"Non-Injury Crash","Northland Region","Light rain"
174.286970226031,-35.6059745791075,"Non-Injury Crash","Northland Region","Fine"
173.348108122525,-34.8976841666143,"Minor Crash","Northland Region","Light rain"
173.26376885923,-35.1138090665236,"Minor Crash","Northland Region","Fine"
174.407318609374,-35.6465425776306,"Non-Injury Crash","Northland Region","Fine"
174.2858697092,-36.1612269336641,"Non-Injury Crash","Northland Region","Fine"
174.29924604971,-35.734109078624,"Minor Crash","Northland Region","Fine"
174.322901825916,-35.7149546047577,"Minor Crash","Northland Region","Fine"
174.301033302039,-35.6835300836441,"Non-Injury Crash","Northland Region","Fine"
174.05665771822,-35.2808337200913,"Non-Injury Crash","Northland Region","Fine"
174.323188470188,-35.722930254366,"Non-Injury Crash","Northland Region","Fine"
174.293896270056,-35.6856806167554,"Non-Injury Crash","Northland Region","Fine"
173.81489485541,-35.115189232306,"Minor Crash","Northland Region","Fine"
173.961488589432,-35.8617192210082,"Non-Injury Crash","Northland Region","Fine"
173.826356501727,-35.1276451841393,"Minor Crash","Northland Region","Light rain"
174.23485185363,-35.8231222144804,"Non-Injury Crash","Northland Region","Fine"
174.420860093947,-36.0765023555454,"Minor Crash","Northland Region","Light rain"
173.870587616746,-35.9393258325032,"Non-Injury Crash","Northland Region","Light rain"
173.972034326146,-35.4369873487489,"Non-Injury Crash","Northland Region","Fine"
174.118780926522,-35.2550470177781,"Non-Injury Crash","Northland Region","Fine"
173.766561382779,-35.8622015124803,"Non-Injury Crash","Northland Region","Fine"
174.443303978903,-36.1645439223509,"Non-Injury Crash","Northland Region","Fine"
173.93798729746,-35.1936921390033,"Non-Injury Crash","Northland Region","Fine"
173.802136635962,-35.4090040963783,"Non-Injury Crash","Northland Region","Light rain"
174.310465165157,-35.7540921211479,"Non-Injury Crash","Northland Region","Fine"
173.880876551695,-35.9343913015245,"Non-Injury Crash","Northland Region","Fine"
174.300074920806,-35.7340820929592,"Non-Injury Crash","Northland Region","Null"
173.956328378021,-35.2842923674353,"Non-Injury Crash","Northland Region","Fine"
174.029663151909,-35.3450655479683,"Non-Injury Crash","Northland Region","Fine"
174.326213219119,-35.7273236028626,"Non-Injury Crash","Northland Region","Fine"
174.311305246702,-35.7587800692869,"Minor Crash","Northland Region","Fine"
173.485698662205,-35.4554499669334,"Non-Injury Crash","Northland Region","Fine"
174.351778254254,-35.6593680047028,"Non-Injury Crash","Northland Region","Fine"
173.552728695469,-35.0255404540243,"Non-Injury Crash","Northland Region","Fine"
174.446196048485,-35.963854080335,"Serious Crash","Northland Region","Fine"
174.070855030721,-35.4243580045689,"Serious Crash","Northland Region","Fine"
174.313224794821,-35.7301977992096,"Non-Injury Crash","Northland Region","Fine"
174.450868124907,-36.1496952259303,"Serious Crash","Northland Region","Fine"
174.443123101401,-36.1607418476354,"Non-Injury Crash","Northland Region","Fine"
174.322109802788,-35.72656637835,"Minor Crash","Northland Region","Fine"
173.561043163564,-35.0118772120929,"Non-Injury Crash","Northland Region","Fine"
174.307289549081,-35.8242673714032,"Minor Crash","Northland Region","Fine"
