"X","Y","crashSeverity","region","weatherA"
169.739754213077,-46.2625167301402,"Non-Injury Crash","Otago Region","Fine"
169.363129806088,-46.1963104399055,"Minor Crash","Otago Region","Fine"
170.504761972934,-45.878132035843,"Serious Crash","Otago Region","Fine"
170.505926320622,-45.8760152824901,"Non-Injury Crash","Otago Region","Fine"
169.202356710693,-45.034435297966,"Non-Injury Crash","Otago Region","Fine"
170.670691955693,-45.8247248835645,"Minor Crash","Otago Region","Fine"
170.522743894936,-45.8948239230754,"Minor Crash","Otago Region","Light rain"
169.596332175053,-46.2373878713556,"Minor Crash","Otago Region","Fine"
170.096899650754,-45.1421203363229,"Serious Crash","Otago Region","Fine"
170.51572122814,-45.8615304741198,"Non-Injury Crash","Otago Region","Fine"
169.205651230449,-45.0479577615751,"Non-Injury Crash","Otago Region","Fine"
170.399060371591,-45.845395675938,"Non-Injury Crash","Otago Region","Fine"
169.145195931183,-44.6928616047263,"Non-Injury Crash","Otago Region","Fine"
170.506253380185,-45.8764814652638,"Non-Injury Crash","Otago Region","Heavy rain"
170.981719794914,-45.0813686466915,"Non-Injury Crash","Otago Region","Fine"
168.670701385428,-45.0334908139651,"Non-Injury Crash","Otago Region","Snow"
169.834514689714,-46.1630438001784,"Non-Injury Crash","Otago Region","Fine"
169.768798824386,-46.2092756613452,"Non-Injury Crash","Otago Region","Snow"
170.49736834766,-45.8708866205768,"Minor Crash","Otago Region","Fine"
168.398597853791,-44.8208439992579,"Serious Crash","Otago Region","Fine"
168.628455852054,-45.0462454924637,"Non-Injury Crash","Otago Region","Fine"
170.515373815116,-45.8594977336557,"Non-Injury Crash","Otago Region","Fine"
169.793886704,-46.3290957670755,"Non-Injury Crash","Otago Region","Mist or Fog"
170.511284348056,-45.8734769402936,"Non-Injury Crash","Otago Region","Fine"
169.331166100428,-45.1897742117969,"Minor Crash","Otago Region","Fine"
169.326591536681,-45.5684486610051,"Non-Injury Crash","Otago Region","Fine"
170.0950124202,-45.114679940145,"Serious Crash","Otago Region","Fine"
168.66050299366,-45.0308615474137,"Serious Crash","Otago Region","Fine"
169.479962059205,-45.792941141475,"Non-Injury Crash","Otago Region","Fine"
169.179817326737,-45.0394616839328,"Non-Injury Crash","Otago Region","Fine"
168.834898279035,-44.9391288155581,"Non-Injury Crash","Otago Region","Fine"
170.49736834766,-45.8708866205768,"Non-Injury Crash","Otago Region","Fine"
168.700244440083,-45.0370305279927,"Non-Injury Crash","Otago Region","Fine"
168.755306847033,-45.0022313258368,"Non-Injury Crash","Otago Region","Fine"
168.659311831385,-45.0316713742454,"Non-Injury Crash","Otago Region","Fine"
171.001104242368,-45.0603753874584,"Minor Crash","Otago Region","Light rain"
169.355610589683,-44.8075623801545,"Minor Crash","Otago Region","Fine"
170.983793464974,-45.0791278313873,"Non-Injury Crash","Otago Region","Fine"
168.755622484653,-45.0020810437106,"Minor Crash","Otago Region","Fine"
170.353103764999,-45.8804780150596,"Minor Crash","Otago Region","Fine"
