"X","Y","crashSeverity","region","weatherA"
168.385299484102,-46.417825615443,"Non-Injury Crash","Southland Region","Fine"
168.870066983377,-46.1102544755433,"Minor Crash","Southland Region","Fine"
168.101962415839,-44.8610144602634,"Minor Crash","Southland Region","Fine"
168.350611134233,-46.412520080703,"Non-Injury Crash","Southland Region","Fine"
168.381822996316,-46.4272261797349,"Non-Injury Crash","Southland Region","Fine"
168.361426734597,-46.4180188823771,"Non-Injury Crash","Southland Region","Light rain"
168.90417162648,-46.1177034386546,"Non-Injury Crash","Southland Region","Heavy rain"
169.008134847876,-46.0668142343055,"Non-Injury Crash","Southland Region","Light rain"
168.338206662516,-46.3831292264494,"Non-Injury Crash","Southland Region","Fine"
168.371331092492,-46.4359732633234,"Minor Crash","Southland Region","Fine"
168.415851338378,-46.3901633727429,"Non-Injury Crash","Southland Region","Heavy rain"
168.38450064435,-46.3755419328484,"Minor Crash","Southland Region","Fine"
168.350946374183,-46.4281417402767,"Non-Injury Crash","Southland Region","Light rain"
168.804564083938,-46.1954002653415,"Non-Injury Crash","Southland Region","Mist or Fog"
168.109197486624,-45.992439884211,"Serious Crash","Southland Region","Fine"
168.944407772649,-46.3592764718608,"Serious Crash","Southland Region","Fine"
167.722430037338,-45.4231187221776,"Minor Crash","Southland Region","Fine"
167.717269874759,-45.422663463666,"Minor Crash","Southland Region","Fine"
168.767000689019,-46.3097121270423,"Non-Injury Crash","Southland Region","Heavy rain"
167.746932413766,-45.4061036866955,"Minor Crash","Southland Region","Fine"
168.375834506597,-46.3946605742013,"Non-Injury Crash","Southland Region","Heavy rain"
169.006000005819,-46.0686207533347,"Non-Injury Crash","Southland Region","Fine"
168.35977133602,-46.4064121033204,"Non-Injury Crash","Southland Region","Fine"
168.938723880868,-46.1086411770067,"Non-Injury Crash","Southland Region","Fine"
168.371575291131,-46.4358571518699,"Non-Injury Crash","Southland Region","Fine"
167.837302898948,-45.4961846783856,"Non-Injury Crash","Southland Region","Fine"
168.347264688654,-46.4111685271829,"Non-Injury Crash","Southland Region","Fine"
168.347251444865,-46.4084226327282,"Non-Injury Crash","Southland Region","Fine"
168.347416016529,-46.4095454869774,"Non-Injury Crash","Southland Region","Fine"
168.219320888605,-46.0997537381995,"Minor Crash","Southland Region","Light rain"
